source_id,url,price_man_yen,layout,area_sqm,year_built,floor_number,floors_total,address,nearest_station,walk_minutes,image_count,luxury_bathroom,luxury_bedroom,luxury_floor_plan,luxury_kitchen,luxury_living_room,luxury_toilet,brightness_bathroom,brightness_bedroom,brightness_floor_plan,brightness_kitchen,brightness_living_room,brightness_toilet,modernity_bathroom,modernity_bedroom,modernity_floor_plan,modernity_kitchen,modernity_living_room,modernity_toilet
20277732,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20277732/,2390.0,2LDK,52.89,1989,4.0,4.0,東京都足立区六月１ [ ■ 周辺環境 ],竹ノ塚駅,16.0,24,0.4578125,0.34765625,-1000.0,0.408203125,,0.4375,0.775,0.77734375,-1000.0,0.896484375,,0.65234375,0.9921875,0.99609375,-1000.0,0.994140625,,0.9921875
20332918,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20332918/,1580.0,1DK,29.16,1976,6.0,9.0,東京都足立区東和５ [ ■ 周辺環境 ],北綾瀬駅,12.0,31,0.46875,0.294921875,-1000.0,0.376953125,,0.53125,0.560546875,0.7236328125,-1000.0,0.7177734375,,0.65234375,0.994140625,0.9970703125,-1000.0,0.9345703125,,0.984375
20344616,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20344616/,2380.0,2LDK,53.04,1974,3.0,8.0,東京都足立区梅田７-22-9 [ ■ 周辺環境 ],梅島駅,7.0,27,0.3893229166666667,0.5234375,-1000.0,0.5,,0.73046875,0.4739583333333333,0.607421875,-1000.0,0.40625,,0.65234375,0.9947916666666666,0.994140625,-1000.0,0.99609375,,0.98828125
78385243,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_78385243/,1700.0,2DK,40.1,1985,1.0,5.0,東京都足立区青井１-16-9 [ ■ 周辺環境 ],青井駅,10.0,11,0.3645833333333333,0.34765625,-1000.0,,,,0.4075520833333333,0.763671875,-1000.0,,,,0.9908854166666666,0.99609375,-1000.0,,,
78151350,https://suumo.jp/ms/chuko/tokyo/sc_bunkyo/nc_78151350/,1800.0,1DK,26.29,1977,5.0,5.0,東京都文京区小石川５ [ ■ 周辺環境 ],茗荷谷駅,9.0,11,0.392578125,0.30078125,-1000.0,0.23828125,,,0.453125,0.484375,-1000.0,0.53125,,,0.986328125,0.9921875,-1000.0,0.98828125,,
20198657,https://suumo.jp/ms/chuko/tokyo/sc_itabashi/nc_20198657/,1880.0,2LDK,51.0,1974,1.0,7.0,東京都板橋区常盤台３ [ ■ 周辺環境 ],上板橋駅,8.0,28,0.4583333333333333,0.423828125,-1000.0,0.36328125,0.70703125,0.65234375,0.7604166666666666,0.822265625,-1000.0,0.654296875,0.806640625,0.796875,0.9921875,0.994140625,-1000.0,0.990234375,0.99609375,0.9921875
20293606,https://suumo.jp/ms/chuko/tokyo/sc_katsushika/nc_20293606/,1380.0,2DK,44.36,1974,2.0,6.0,東京都葛飾区金町１ [ ■ 周辺環境 ],金町駅,9.0,14,0.5,0.24609375,-1000.0,0.3203125,,0.26953125,0.4375,0.685546875,-1000.0,0.4375,,0.26953125,0.98046875,0.994140625,-1000.0,0.953125,,0.9609375
20319433,https://suumo.jp/ms/chuko/tokyo/sc_katsushika/nc_20319433/,2390.0,1LDK,46.0,1981,7.0,7.0,東京都葛飾区白鳥２ [ ■ 周辺環境 ],お花茶屋駅,7.0,29,0.4700520833333333,,-1000.0,0.53125,0.46875,0.5,0.58203125,,-1000.0,0.5221354166666666,0.70703125,0.62109375,0.9856770833333334,,-1000.0,0.99609375,0.99609375,0.96875
20340557,https://suumo.jp/ms/chuko/tokyo/sc_katsushika/nc_20340557/,2380.0,2LDK,61.57,1980,3.0,3.0,東京都葛飾区青戸４ [ ■ 周辺環境 ],青砥駅,9.0,28,,0.28125,-1000.0,,,0.40625,,0.875,-1000.0,,,0.5,,0.98828125,-1000.0,,,0.9765625
20025032,https://suumo.jp/ms/chuko/tokyo/sc_minato/nc_20025032/,2350.0,1K,26.96,1974,4.0,7.0,東京都港区芝浦２-13-6 [ ■ 周辺環境 ],田町駅,7.0,25,0.306640625,0.5,-1000.0,0.22265625,0.34765625,0.4375,0.576171875,0.802734375,-1000.0,0.796875,0.953125,0.5625,0.984375,0.9296875,-1000.0,0.9921875,0.953125,0.9765625
