source,source_id,url,price_man_yen,layout,area_sqm,year_built,floor_number,floors_total,address,nearest_station,walk_minutes,interior_image_count
suumo,20037131,https://suumo.jp/ms/chuko/chiba/sc_ichikawa/nc_20037131/,2980,2LDK,,2008,1,6,千葉県市川市宮久保３,京成八幡駅,20,0
suumo,20119720,https://suumo.jp/ms/chuko/chiba/sc_ichikawa/nc_20119720/,3799,3LDK,,2000,3,6,千葉県市川市広尾１-10-10,南行徳駅,17,13
suumo,20143796,https://suumo.jp/ms/chuko/chiba/sc_ichikawa/nc_20143796/,3799,3LDK,,2000,3,6,千葉県市川市広尾１,南行徳駅,17,14
suumo,78933829,https://suumo.jp/ms/chuko/chiba/sc_ichikawa/nc_78933829/,2688,4LDK,,1974,4,5,千葉県市川市高谷２-7-7,原木中山駅,8,13
suumo,79079065,https://suumo.jp/ms/chuko/chiba/sc_ichikawa/nc_79079065/,2480,2LDK,,1975,4,6,千葉県市川市宝２,行徳駅,17,2
suumo,79221868,https://suumo.jp/ms/chuko/chiba/sc_ichikawa/nc_79221868/,5298,3LDK,,2006,8,20,千葉県市川市島尻,浦安駅,18,12
suumo,20037257,https://suumo.jp/ms/chuko/chiba/sc_matsudo/nc_20037257/,2780,3LDK,,1988,13,13,千葉県松戸市新松戸３,新松戸駅,4,18
suumo,20062718,https://suumo.jp/ms/chuko/chiba/sc_matsudo/nc_20062718/,2290,3LDK,,1979,6,10,千葉県松戸市新松戸北１,幸谷駅,8,2
suumo,20085022,https://suumo.jp/ms/chuko/chiba/sc_matsudo/nc_20085022/,2380,2LDK,,1989,6,8,千葉県松戸市根木内,北小金駅,18,3
suumo,20155212,https://suumo.jp/ms/chuko/chiba/sc_matsudo/nc_20155212/,1980,2LDK,,1981,4,7,千葉県松戸市小金きよしケ丘１,北小金駅,3,17
suumo,20266316,https://suumo.jp/ms/chuko/chiba/sc_matsudo/nc_20266316/,2880,4LDK,,1979,6,10,千葉県松戸市新松戸６,新松戸駅,17,8
suumo,78457085,https://suumo.jp/ms/chuko/chiba/sc_matsudo/nc_78457085/,3480,2LDK,,1997,2,8,千葉県松戸市上本郷,北松戸駅,5,9
suumo,79036397,https://suumo.jp/ms/chuko/chiba/sc_matsudo/nc_79036397/,3990,3LDK,,2007,4,5,千葉県松戸市秋山３,東松戸駅,12,14
suumo,79204680,https://suumo.jp/ms/chuko/chiba/sc_matsudo/nc_79204680/,1590,3LDK,,1974,7,7,千葉県松戸市六高台４,六実駅,11,15
suumo,20012624,https://suumo.jp/ms/chuko/chiba/sc_urayasu/nc_20012624/,4890,3LDK,,2000,3,9,千葉県浦安市北栄４-8-17,浦安駅,18,16
suumo,20322446,https://suumo.jp/ms/chuko/kanagawa/sc_kawasakishikawasaki/nc_20322446/,6880,3LDK,,2000,5,15,神奈川県川崎市川崎区本町２,京急川崎駅,13,16
suumo,79089747,https://suumo.jp/ms/chuko/kanagawa/sc_kawasakishikawasaki/nc_79089747/,3480,3LDK,,1995,3,1,神奈川県川崎市川崎区浜町２,小田栄駅,19,15
suumo,79225714,https://suumo.jp/ms/chuko/kanagawa/sc_kawasakishikawasaki/nc_79225714/,3790,3LDK,,1989,5,7,神奈川県川崎市川崎区京町２,川崎新町駅,7,0
suumo,20206228,https://suumo.jp/ms/chuko/kanagawa/sc_kawasakishinakahara/nc_20206228/,5480,3LDK,,2000,2,6,神奈川県川崎市中原区上小田中２,武蔵新城駅,10,13
